"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 21 16:27:39 CST 2022","Wed Sep 21 16:27:54 CST 2022","15316","test_cases.common","test_set_up","TestSetUp","","","清除缓存",""
"passed","Wed Sep 21 17:19:12 CST 2022","Wed Sep 21 17:19:25 CST 2022","13584","test_cases.company","test_GCC_product","TestGCCProduct","","","点击返回",""
"passed","Wed Sep 21 16:38:36 CST 2022","Wed Sep 21 16:39:09 CST 2022","32954","test_cases.common","test_shop","TestShop","","","最新产品加购",""
"passed","Wed Sep 21 16:13:06 CST 2022","Wed Sep 21 16:13:24 CST 2022","17455","test_cases.common","test_modify_personal_information","TestModifyPersonalInfomation","","","点击返回",""
"passed","Wed Sep 21 17:17:15 CST 2022","Wed Sep 21 17:17:27 CST 2022","11940","test_cases.company","test_Company_homepage","TestCompanyHomePage","","","点击找样",""
"broken","Wed Sep 21 17:48:41 CST 2022","Wed Sep 21 17:49:25 CST 2022","44280","test_cases.company","test_ShowroomHomePage","TestShowroomHomePage","","","关键词搜索",""
"passed","Wed Sep 21 17:32:36 CST 2022","Wed Sep 21 17:32:52 CST 2022","15937","test_cases.company","test_New_product_area","TestNewProductArea","","","产品加购",""
"broken","Thu Sep 22 17:05:47 CST 2022","Thu Sep 22 17:05:47 CST 2022","2","api.testcase","test_login_api","TestLogin","","","test_login",""
"passed","Wed Sep 21 16:09:52 CST 2022","Wed Sep 21 16:09:54 CST 2022","1791","test_cases.common","test_login","TestLogin","","","退出应用",""
"passed","Wed Sep 21 16:40:46 CST 2022","Wed Sep 21 16:41:32 CST 2022","46058","test_cases.common","test_shop","TestShop","","","点击排序",""
"passed","Wed Sep 21 16:58:12 CST 2022","Wed Sep 21 16:59:14 CST 2022","62486","test_cases.company","test_3D_product","Test3DProduct","","","排序操作",""
"broken","Wed Sep 21 15:44:09 CST 2022","Wed Sep 21 15:45:05 CST 2022","56295","test_cases.common","test_Product_search","TestProductSearch","","","包装方式查询",""
"passed","Wed Sep 21 15:31:55 CST 2022","Wed Sep 21 15:32:34 CST 2022","39911","test_cases.common","test_Product_search","TestProductSearch","","","拍照搜索",""
"passed","Wed Sep 21 16:02:25 CST 2022","Wed Sep 21 16:03:37 CST 2022","71242","test_cases.common","test_Query_vendor","TestQueryVendor","","","多次查询",""
"passed","Wed Sep 21 15:53:11 CST 2022","Wed Sep 21 15:53:43 CST 2022","32364","test_cases.common","test_Product_search","TestProductSearch","","","查看产品",""
"broken","Wed Sep 21 17:40:11 CST 2022","Wed Sep 21 17:40:51 CST 2022","39523","test_cases.company","test_ShowroomHomePage","TestShowroomHomePage","","","点击返回",""
"passed","Wed Sep 21 16:09:28 CST 2022","Wed Sep 21 16:09:29 CST 2022","1050","test_cases.common","test_login","TestLogin","","","点击同意","点击同意"
"broken","Thu Feb 02 16:44:21 CST 2023","Thu Feb 02 16:44:21 CST 2023","11","api.testcase.ExhibitionHall","test_Get_statistics_on_the_first_page_of_the_exhibition_hall_api","TestLogin","","","test_Random_Select_Role",""
"passed","Wed Sep 21 16:22:47 CST 2022","Wed Sep 21 16:22:56 CST 2022","9153","test_cases.common","test_select_role","TestSelectRole","","","选择厂商角色",""
"passed","Wed Sep 21 16:28:34 CST 2022","Wed Sep 21 16:28:53 CST 2022","19385","test_cases.common","test_set_up","TestSetUp","","","关于小竹熊云科技",""
"passed","Wed Sep 21 17:34:52 CST 2022","Wed Sep 21 17:35:08 CST 2022","15298","test_cases.company","test_Operating_instructions","TestOperatingInstructions","","","点击返回",""
"passed","Wed Sep 21 17:29:05 CST 2022","Wed Sep 21 17:29:19 CST 2022","13395","test_cases.company","test_New_product_area","TestNewProductArea","","","点击最新产品",""
"passed","Wed Sep 21 15:27:23 CST 2022","Wed Sep 21 15:27:37 CST 2022","13131","test_cases.common","test_Product_search","TestProductSearch","","","列表返回",""
"passed","Wed Sep 21 16:06:08 CST 2022","Wed Sep 21 16:06:22 CST 2022","14901","test_cases.common","test_Toy_Circle_Collection","TestToyCircleCollection","","","玩具圈收藏删除",""
"broken","Thu Feb 02 16:44:20 CST 2023","Thu Feb 02 16:44:20 CST 2023","10","api.testcase.ExhibitionHall","test_Get_statistics_on_the_first_page_of_the_exhibition_hall_api","TestLogin","","","test_login_Universal_verification_code",""
"passed","Wed Sep 21 16:37:05 CST 2022","Wed Sep 21 16:37:38 CST 2022","32665","test_cases.common","test_shop","TestShop","","","视频产品加购",""
"passed","Wed Sep 21 16:29:34 CST 2022","Wed Sep 21 16:29:49 CST 2022","14696","test_cases.common","test_set_up","TestSetUp","","","联系我们",""
"passed","Wed Sep 21 15:58:31 CST 2022","Wed Sep 21 15:58:54 CST 2022","23619","test_cases.common","test_Query_vendor","TestQueryVendor","","","Logo查询",""
"passed","Wed Sep 21 16:57:19 CST 2022","Wed Sep 21 16:57:32 CST 2022","13825","test_cases.company","test_3D_product","Test3DProduct","","","点击返回",""
"passed","Wed Sep 21 18:07:08 CST 2022","Wed Sep 21 18:08:11 CST 2022","62416","test_cases.company","test_Video_area","TestVideoArea","","","排序操作",""
"passed","Wed Sep 21 17:16:50 CST 2022","Wed Sep 21 17:17:03 CST 2022","12721","test_cases.company","test_Company_homepage","TestCompanyHomePage","","","点击置顶按钮",""
"passed","Wed Sep 21 17:21:19 CST 2022","Wed Sep 21 17:21:37 CST 2022","18295","test_cases.company","test_GCC_product","TestGCCProduct","","","产品收藏",""
"broken","Wed Sep 21 17:57:39 CST 2022","Wed Sep 21 17:58:25 CST 2022","45564","test_cases.company","test_ShowroomHomePage","TestShowroomHomePage","","","选择展厅类目",""
"passed","Wed Sep 21 17:30:24 CST 2022","Wed Sep 21 17:31:28 CST 2022","63461","test_cases.company","test_New_product_area","TestNewProductArea","","","排序操作",""
"passed","Wed Sep 21 17:00:54 CST 2022","Wed Sep 21 17:01:13 CST 2022","18724","test_cases.company","test_3D_product","Test3DProduct","","","产品加购",""
"passed","Wed Sep 21 18:13:21 CST 2022","Wed Sep 21 18:13:50 CST 2022","28298","test_cases.company","test_shopping_cart","TestShoppingCart","","","箱数操作",""
"broken","Thu Feb 02 16:44:06 CST 2023","Thu Feb 02 16:44:06 CST 2023","8","api.testcase.ExhibitionHall","test_3D_product_api","TestLogin","","","test_Hall_Role_Login",""
"passed","Wed Sep 21 16:01:49 CST 2022","Wed Sep 21 16:02:14 CST 2022","25111","test_cases.common","test_Query_vendor","TestQueryVendor","","","是否删除历史查询",""
"passed","Wed Sep 21 15:24:37 CST 2022","Wed Sep 21 15:25:06 CST 2022","29237","test_cases.common","test_Figure_search","TestFigureSearch","","","相册扫码",""
"passed","Wed Sep 21 18:12:03 CST 2022","Wed Sep 21 18:12:24 CST 2022","20707","test_cases.company","test_shopping_cart","TestShoppingCart","","","关键字搜索",""
"broken","Thu Feb 02 16:44:10 CST 2023","Thu Feb 02 16:44:10 CST 2023","8","api.testcase.ExhibitionHall","test_3D_product_api","Test3DProduct","","","test_Query_the_3D_products_in_the_exhibition_hall_with_keywork",""
